Indicator,Next
-15168311.466969,86
-3033158.85906922,68
10978730.7910432,94
21504921.9414039,-133
2158732.48392054,237
2188573.30233785,-228
-13475655.8814903,77
-319461.401917808,-23
-13644589.0182279,174
21057389.4868681,534
24678593.618993,-190
7875120.8593512,532
-761522.383672449,-193
-25224409.1302314,-76
-3358803.14192842,86
-14029222.4239849,9
3177626.86544424,-28
11485082.3338097,101
4180415.87145517,36
-1896414.69273057,-93
-11133685.7322766,-38
-7285456.34184132,32
32767.5744303639,82
6628744.3071745,179
16322431.2269318,134
2466679.14876447,-115
-4784515.63715342,-118
-15465976.438683,126
-1376584.92523159,-26
3191372.46017147,-67
-1175775.24388319,58
2487330.71709637,-23
-485504.492432248,-161
-5716669.80829122,-28
-4941675.44938621,-59
-5693334.94699366,93
11116545.3358174,126
11487984.1742565,94
6886254.13400551,125
9152543.79096513,-126
-21309962.6817782,-160
-4098022.12417445,204
-7285140.83368152,-22
9935507.83813248,-16
2284845.69052108,27
-1883609.17287793,21
4322624.08987031,-81
-1861593.62359728,-29
-4003481.46259101,-150
-5621494.95331631,7
1071789.74810477,131
6215355.85221721,36
4951648.72843995,-37
-227838.83033232,-33
-5023268.09896412,7
-371513.470551454,73
1519775.61186538,11
2007856.45603692,-49
-2425798.71824322,48
-50390.8033697278,19
7070010.75336928,60
10193785.2328281,-244
-10440765.5227832,54
-10170874.0057858,-43
-11524844.5108962,92
11505476.5340441,-22
3468331.59874257,-68
2747812.85850928,43
-214004.733574402,-179
-7936408.39178031,145
1460507.51593414,-85
-4392080.74951077,2
5942497.23397054,76
-888246.670574428,-36
4026772.3678806,61
1839324.84706602,-43
-4516801.25452876,19
-146246.944814208,51
3592001.54245991,1
2835007.17708593,77
-2929304.66583434,-91
-9608014.56926452,-181
-8274432.06034717,-6
-154444.108906835,-115
901863.504297704,-69
2636758.17307987,-89
-2516135.18212475,-61
2238809.75285612,220
12422048.3532291,-83
3020051.51015259,19
1159263.42612818,142
-6075022.63754742,48
1228866.965811,-47
-233985.766659092,75
4645587.88006386,61
-137289.768506573,-208
-6102744.98489999,114
-4110028.69926282,-17
-681850.522513098,-45
3865726.82933146,-54
-2881800.47545325,36
3150352.59367873,28
3429995.83699041,-18
2247060.67326249,-83
-7056982.67323211,35
-2533328.5513136,-74
-3082980.41256784,47
5180821.55242441,38
4250800.25385611,64
5432439.09110811,-6
-552789.873190127,20
-2097391.92701585,-39
-2103978.58137953,-41
-1875911.5055686,-158
-5468333.04735549,21
-1575926.86176485,-139
-1543008.90428426,42
8313016.01038285,51
554553.890842885,-39
3394404.59590979,62
-2008257.9523608,18
5593413.98091497,33
382806.728627744,48
-310976.220753513,-91
-5511851.52998099,58
43067.8097299588,3
-61641.9866282078,-30
93676.6314135789,48
3264372.71612528,-48
-2149414.32110748,-9
1274524.36768796,-31
-7490453.89834368,33
3996770.08544162,-46
-2050871.97943043,-15
3599412.0202841,437
26805873.4133435,-67
-4006337.38148663,255
2404306.2239675,112
-25247710.5608124,-225
4336160.34947315,43
-3151651.59077996,-10
-6334871.23936444,-49
-1849215.59844998,5
-3278423.38063061,-69
1358362.10103421,-84
-515371.549558218,47
5410217.51006244,129
4455177.7776889,2
5106472.19880667,-130
-1013637.31250142,247
7440658.71860761,-54
-295415.447704188,97
4275289.83058118,-39
-12373440.2675052,18
-3682673.62060384,-70
-5932026.57908485,-14
-1191810.73707172,-60
-1179542.45544006,60
2376409.0838311,-48
3563046.4857743,-20
2484986.95879741,105
1301337.62977954,-60
1421673.42844046,1
2055672.11216758,36
106940.684884064,-95
-5240300.57358731,84
-494411.684880304,-71
-3877451.88735418,16
1741282.23619116,32
-1856803.41021952,-39
762965.708179055,13
1517011.09375702,-7
695356.452932109,-14
-422561.627554431,-81
-4678880.48405169,-3
-1040095.33549456,-41
-391035.902012187,55
5638528.12276236,-33
385707.350356312,75
7061669.99454709,31
