,time,open,high,low,close
0,1536242220,720549,722338,720549,722153
1,1536242400,721904,722327,720196,720867
2,1536242580,720903,724290,720853,722323
3,1536242760,722359,722829,720686,721090
4,1536242940,721090,721597,720864,721288
5,1536243120,721287,721306,720500,720585
6,1536243300,720500,721323,720212,721079
7,1536243480,721171,721499,720750,720922
8,1536243660,720922,721158,719667,720172
9,1536243840,720324,720330,718032,718716
10,1536244020,718718,719291,718178,718304
11,1536244200,718264,719289,718201,719054
12,1536244380,718891,719314,718366,718708
13,1536244560,718636,719008,717612,717783
14,1536244740,717706,718382,717015,717253
15,1536244920,717253,717669,716000,716647
16,1536245100,716428,716796,715600,716658
17,1536245280,716564,717870,716563,717421
18,1536245460,717575,718278,716999,716999
19,1536245640,716728,719191,716604,718553
20,1536245820,718359,719200,718098,718575
21,1536246000,718593,718780,717646,718576
22,1536246180,718639,718639,717231,717478
23,1536246360,717078,717478,714781,714781
24,1536246540,714781,716300,712222,713528
25,1536246720,713383,713528,711630,713131
26,1536246900,713079,714574,712343,713500
27,1536247080,713500,714689,713307,714688
28,1536247260,714702,715260,714076,714993
29,1536247440,714980,715184,714049,714822
30,1536247620,714225,714225,712120,713438
31,1536247800,713354,713354,711000,712280
32,1536247980,712351,712403,710000,711379
33,1536248160,711769,712979,711661,712446
34,1536248340,712446,712978,711274,712391
35,1536248520,712257,713500,711894,713183
36,1536248700,713355,713500,712300,713057
37,1536248880,712694,713000,712294,712887
38,1536249060,712943,713500,712943,713054
39,1536249240,713212,713212,712505,713000
40,1536249420,713001,713048,711827,712110
41,1536249600,712275,713393,712275,712380
42,1536249780,712727,713186,711626,712563
43,1536249960,712095,712197,711232,711689
44,1536250140,711513,711970,710571,710620
45,1536250320,710749,711468,710500,711360
46,1536250500,711577,712655,711096,712410
47,1536250680,712535,713998,712535,713121
48,1536250860,713121,713685,713003,713356
49,1536251040,713345,714412,713120,713700
50,1536251220,713700,714113,712370,713046
51,1536251400,712959,713357,712350,713353
52,1536251580,713369,713978,713116,713978
53,1536251760,713898,715124,713851,714670
54,1536251940,714900,714901,713253,713253
55,1536252120,713585,714113,713294,713708
56,1536252300,713756,714726,713755,714509
57,1536252480,714386,714386,713696,713708
58,1536252660,713707,714312,713496,713498
59,1536252840,713662,713662,712697,713022
60,1536253020,713023,713124,711822,711864
61,1536253200,711919,712510,711501,711501
62,1536253380,711620,712541,711620,712136
63,1536253560,712043,712830,711825,712453
64,1536253740,712238,713454,712138,713200
65,1536253920,713200,713380,712982,712982
66,1536254100,712912,713128,712800,713128
67,1536254280,713299,713477,712871,713125
68,1536254460,713019,713019,711466,712330
69,1536254640,712328,712940,712127,712940
70,1536254820,712735,712849,711982,711983
71,1536255000,711983,712583,711827,711881
72,1536255180,711827,712382,711591,711927
73,1536255360,712027,712619,711794,711794
74,1536255540,711794,711794,711661,711719
75,1536255720,711604,711604,710501,711008
76,1536255900,711174,711275,710791,711275
