,time,open,high,low,close
0,1536155100,782655,782749,781839,782538
1,1536155280,782370,782999,782329,782582
2,1536155460,782526,783499,782337,783051
3,1536155640,783079,783916,782733,783692
4,1536155820,783383,784100,783383,783929
5,1536156000,783933,786030,783829,785700
6,1536156180,785601,786030,784829,785516
7,1536156360,785362,785999,785362,785541
8,1536156540,785502,785573,783606,783606
9,1536156720,783998,785148,783804,783999
10,1536156900,783900,784456,783610,784456
11,1536157080,784266,785197,783990,785048
12,1536157260,785003,785090,784558,784558
13,1536157440,784798,784798,784011,784211
14,1536157620,784639,784950,784250,784950
15,1536157800,784950,785415,784714,785001
16,1536157980,785001,785131,784051,784051
17,1536158160,784440,784440,782800,783440
18,1536158340,783508,784000,783339,783431
19,1536158520,783432,783512,782500,783328
20,1536158700,783327,783677,780979,781699
21,1536158880,781700,782516,780640,780875
22,1536159060,780873,780874,779688,780224
23,1536159240,780041,781598,779999,781139
24,1536159420,781352,782268,781346,782100
25,1536159600,782101,783000,781953,782926
26,1536159780,782867,783000,782244,782474
27,1536159960,782474,782972,781543,781543
28,1536160140,781500,782216,780219,781762
29,1536160320,781763,781854,780899,781388
30,1536160500,781388,782990,781062,782163
31,1536160680,782346,782400,781286,781286
32,1536160860,781287,781287,779012,779523
33,1536161040,779523,781650,779447,781150
34,1536161220,781286,781414,779948,780396
35,1536161400,780270,780528,779050,780528
36,1536161580,780323,780918,780323,780449
37,1536161760,780449,780707,779395,779928
38,1536161940,779929,780904,779929,780697
39,1536162120,780800,780800,779651,779843
40,1536162300,779752,779783,778343,779319
41,1536162480,779503,779785,778250,778351
42,1536162660,778341,778795,775120,778528
43,1536162840,778678,780649,778678,779646
44,1536163020,779730,781059,779166,781059
45,1536163200,781059,781500,780136,780394
46,1536163380,780200,780761,779694,780500
47,1536163560,780500,781001,780333,780420
48,1536163740,780427,780890,779864,780600
49,1536163920,780599,782100,779596,780825
50,1536164100,780826,780826,779971,779971
51,1536164280,779972,780254,778996,778996
52,1536164460,778997,779782,778947,778947
53,1536164640,779127,779460,778475,778500
54,1536164820,778700,779461,778500,778500
55,1536165000,778449,779008,777450,779008
56,1536165180,778922,779728,778831,779161
57,1536165360,779268,779762,779155,779159
58,1536165540,779711,780189,778837,778837
59,1536165720,779078,779195,778449,779062
60,1536165900,778981,779464,778138,778484
61,1536166080,778167,778804,775555,776421
62,1536166260,776300,776300,770000,770489
63,1536166440,770491,774828,770000,773786
64,1536166620,773955,774885,771000,772297
65,1536166800,772301,774440,770300,773602
66,1536166980,773602,774019,771000,772131
67,1536167160,772132,772940,769387,769649
68,1536167340,769650,772521,768015,770000
69,1536167520,769999,772170,769949,770504
70,1536167700,770504,772687,770001,772687
71,1536167880,772469,772942,770097,770600
72,1536168060,770461,771000,769053,769513
73,1536168240,769594,771032,769180,770578
74,1536168420,770487,771000,769500,770009
75,1536168600,770070,771472,769971,771245
76,1536168780,771233,771979,770325,771924
77,1536168960,771871,772455,771029,771259
78,1536169140,771074,773259,770995,772391
79,1536169320,772613,774191,771683,773872
80,1536169500,773773,773773,772518,773258
81,1536169680,773256,773256,771913,772253
82,1536169860,772096,773079,772000,773079
83,1536170040,773121,773121,771118,771469
84,1536170220,771672,772300,770532,771566
85,1536170400,771566,772549,771566,772549
86,1536170580,772419,773290,772405,772549
87,1536170760,772719,773912,771551,772465
88,1536170940,772584,773892,772250,773404
89,1536171120,773504,773602,772726,773602
90,1536171300,773673,773673,772367,772773
91,1536171480,772771,773162,772721,773074
92,1536171660,772883,773397,772882,773387
93,1536171840,773387,773870,772838,772838
94,1536172020,772773,772773,771000,771711
95,1536172200,771673,771947,770958,771520
96,1536172380,771418,771418,770001,771123
97,1536172560,771130,771853,770755,771759
98,1536172740,771759,772787,771370,772787
99,1536172920,772500,772500,771303,771738
100,1536173100,771999,772000,771315,771822
101,1536173280,771779,772876,771779,772798
102,1536173460,772768,773028,772238,772881
103,1536173640,772853,772900,772237,772374
104,1536173820,772272,772715,771676,772238
105,1536174000,772004,772737,771974,772700
106,1536174900,772902,772909,771500,772000
107,1536175080,772094,772659,771854,772558
108,1536175260,772558,772558,771203,771878
109,1536175440,772002,772020,771317,771999
110,1536175620,771989,771990,770896,771203
111,1536175800,771266,771375,768583,770003
112,1536175980,769860,771241,769565,770844
113,1536176160,770585,770976,770188,770976
114,1536176340,770751,772439,770293,772226
115,1536176520,772000,773147,771167,772801
116,1536176700,773089,773101,771646,772288
117,1536176880,771908,772379,771650,771728
118,1536177060,771728,771969,771062,771103
119,1536177240,771001,771629,771000,771195
120,1536177420,771270,771270,770001,770473
121,1536177600,770535,770846,769000,770511
122,1536177780,770613,772378,770613,772378
123,1536177960,772378,772860,771375,772299
124,1536178140,772500,772693,771999,772000
125,1536178320,772087,773285,772087,772777
126,1536178500,772778,772857,772554,772800
127,1536178680,772782,772783,771910,772500
128,1536178860,772499,773000,772051,773000
129,1536179040,773084,775660,773000,773500
130,1536179220,773564,774736,773018,773949
131,1536179400,773949,775254,773390,774344
132,1536179580,774163,774185,772638,773583
133,1536179760,773881,774181,773102,774047
134,1536179940,774281,774712,773543,774419
135,1536180120,774735,774735,773012,773112
136,1536180300,773326,773899,773115,773562
137,1536180480,773899,775154,773794,773855
138,1536180660,773855,774875,773594,774200
139,1536180840,774380,775000,774344,775000
140,1536181020,775090,775937,774606,775420
141,1536181200,775569,776627,775078,776451
142,1536181380,776300,776300,773916,774752
143,1536181560,774157,775000,773301,774123
144,1536181740,774123,774873,773993,774369
145,1536181920,774369,775886,774369,775716
146,1536182100,775717,776681,775504,776000
147,1536182280,776001,777845,775998,777845
148,1536182460,777502,778468,777400,778170
149,1536182640,778170,778813,775342,776491
150,1536182820,776657,776672,774910,775754
151,1536183000,775613,775754,773963,774386
152,1536183180,774289,774289,771068,773180
153,1536183360,773223,773694,772132,773216
154,1536183540,773709,773837,772894,772894
155,1536183720,772536,773749,772535,773368
156,1536183900,773202,773698,772185,772748
157,1536184080,772748,772748,771423,771910
158,1536184260,771710,773080,771710,772845
159,1536184440,772412,772457,771821,771976
160,1536184620,771977,773000,771781,773000
161,1536184800,772699,773500,772529,773500
162,1536184980,773499,773500,771221,771221
163,1536185160,771507,772707,771469,772057
164,1536185340,772002,772162,771358,771501
165,1536185520,771501,771691,767800,767930
166,1536185700,767830,769436,767000,767659
167,1536185880,767809,768132,764500,764734
168,1536186060,764734,767890,764302,767407
169,1536186240,767041,767739,765756,767376
170,1536186420,767211,769100,767137,768430
171,1536186600,768508,768635,766922,768635
172,1536186780,768635,770220,768028,770000
173,1536186960,770001,770919,769129,769129
174,1536187140,769000,769502,768398,769004
175,1536187320,768672,769494,768438,769018
176,1536187500,769006,769006,767657,768417
177,1536187680,767900,768417,767558,767953
178,1536187860,767948,770000,767948,769425
179,1536188040,769171,769658,768826,768826
180,1536188220,768785,769331,768100,768920
181,1536188400,768712,769640,768254,769333
182,1536188580,769427,769796,768726,769796
183,1536188760,769546,770380,768822,770217
184,1536188940,770203,770557,769449,770248
185,1536189120,770249,770395,769616,769676
186,1536189300,769616,769616,768409,769546
187,1536189480,769649,769691,768879,768879
188,1536189660,769147,769266,768800,769099
189,1536189840,769049,769147,768000,768022
190,1536190020,768000,768000,766726,767200
191,1536190200,766849,768301,766849,767100
192,1536190380,767224,767904,765500,765520
193,1536190560,765687,767693,765606,766897
194,1536190740,766931,767613,766507,767230
195,1536190920,767175,767230,765500,765500
196,1536191100,765393,766851,758270,758270
197,1536191280,758279,758679,742360,745033
198,1536191460,745033,751789,740000,740935
199,1536191640,742139,744776,740000,741420
200,1536191820,741101,745200,740800,745199
201,1536192000,745199,745719,741002,743000
202,1536192180,743219,744562,742000,743488
203,1536192360,743480,745530,742782,745041
204,1536192540,745039,745120,741111,742388
205,1536192720,742237,744590,741688,742430
206,1536192900,742774,745087,742540,743240
207,1536193080,743312,743900,730009,730200
208,1536193260,730200,730717,713520,713520
209,1536193440,713931,714977,705400,712561
210,1536193620,712791,713487,703423,703423
211,1536193800,703422,710100,700001,702501
212,1536193980,702710,707700,702500,703155
213,1536194160,703090,706658,695355,695455
214,1536194340,695598,708251,695503,707300
215,1536194520,708316,710340,704600,706562
216,1536194700,706571,707888,704307,707421
217,1536194880,707421,707459,702000,705676
218,1536195060,705676,710000,703680,710000
219,1536195240,709007,710639,708213,708958
220,1536195420,708719,711000,708594,710260
221,1536195600,710258,715282,710258,714523
222,1536195780,714527,715700,711650,712279
223,1536195960,712517,714589,712192,713004
224,1536196140,713004,713004,709320,711262
225,1536196320,711634,714173,710794,714001
226,1536196500,714000,715056,713000,714727
227,1536196680,714275,716570,714169,715198
228,1536196860,716038,717371,714501,716900
229,1536197040,716900,718000,716224,716440
230,1536197220,716368,717230,712000,713721
231,1536197400,713651,714565,710400,710518
232,1536197580,710782,712926,709500,711284
233,1536197760,711284,712540,710000,711706
234,1536197940,711706,713181,710844,712480
235,1536198120,712273,713497,711801,712773
236,1536198300,712909,714000,711546,712021
237,1536198480,712022,712468,710297,711115
238,1536198660,711112,713100,710400,712452
239,1536198840,712512,713764,711586,713490
240,1536199020,713490,714372,713129,713918
241,1536199200,714000,715800,713999,714290
242,1536199380,714290,717955,713906,717507
243,1536199560,717507,719991,716800,718001
244,1536199740,718293,719189,717899,718549
245,1536199920,718549,719000,717800,718517
246,1536200100,718501,721510,718302,721274
247,1536200280,721400,722998,720353,720702
248,1536200460,720596,721817,720500,720839
249,1536200640,720601,721199,720000,720000
250,1536200820,720000,720188,718137,718411
251,1536201000,718406,719298,718001,718072
252,1536201180,718072,718482,716827,717999
253,1536201360,717998,719399,716240,718899
