,time,open,high,low,close
0,1535364600,744688,744688,744382,744500
1,1535364900,744600,745000,744600,744985
2,1535365200,744985,745000,744385,744759
3,1535365500,744750,745000,744523,744712
4,1535365800,744992,745000,744497,744500
5,1535366100,744500,744600,744325,744325
6,1535366400,744325,744980,744037,744958
7,1535366700,744958,744980,744369,744856
8,1535367000,744856,745500,744558,744936
9,1535367300,744921,745019,744495,745019
10,1535367600,745040,745448,744999,745001
11,1535367900,745001,746779,744999,745858
12,1535368200,745839,746477,745000,745002
13,1535368500,745004,745421,744444,744549
14,1535368800,744566,744764,743500,743965
15,1535369100,743967,744406,743737,744406
16,1535369400,744341,744341,743067,743067
17,1535369700,743053,743748,742140,743607
18,1535370000,743607,745392,743603,744921
19,1535370300,744921,745190,744366,744712
20,1535370600,744580,744580,743705,744000
21,1535370900,744000,744500,743686,744481
22,1535371200,744481,744718,744111,744560
23,1535371500,744560,745226,744560,744753
24,1535371800,744849,744875,744044,744281
25,1535372100,744449,744898,744449,744892
26,1535372400,744988,745000,744383,744734
27,1535372700,744638,745467,744618,745467
28,1535373000,744966,745696,744966,745696
29,1535373300,745338,746401,745023,745419
30,1535373600,745110,749800,745027,747894
31,1535373900,747964,748107,745532,746189
32,1535374200,746172,746172,742990,743957
33,1535374500,743955,744352,742730,743482
34,1535374800,743408,743880,741580,742003
35,1535375100,742156,743937,742000,743496
36,1535375400,743376,743407,742312,742761
37,1535375700,742605,743646,742605,743073
38,1535376000,743193,743200,742000,742852
39,1535376300,742509,743412,741500,743400
40,1535376600,742989,743300,742100,742723
41,1535376900,742722,743002,742256,742494
42,1535377200,742490,742635,741693,742468
43,1535377500,742467,742467,742000,742420
44,1535377800,742330,742434,741559,742287
45,1535378100,742288,744260,742001,743900
46,1535378400,744014,744998,743693,744797
47,1535378700,744675,745000,743640,744638
48,1535379000,744637,744977,744309,744915
49,1535379300,744867,744938,743907,744205
50,1535379600,744214,744799,743520,744249
51,1535379900,743914,744799,743914,744798
52,1535380200,744798,744938,744277,744724
53,1535380500,744600,745855,744600,745200
54,1535380800,745110,745654,744855,745556
55,1535381100,745547,748000,744611,745888
56,1535381400,745856,746499,744202,744883
57,1535381700,744882,745986,744882,745615
58,1535382000,745615,745908,744339,744747
59,1535382300,744736,745186,744395,745186
60,1535382600,745300,746000,745300,745544
61,1535382900,745550,746074,745500,745994
62,1535383200,745665,746820,745665,746192
63,1535383500,746200,746230,745400,745459
64,1535383800,745497,746000,745497,745824
65,1535384100,745651,745824,745355,745723
66,1535384400,745723,745999,745208,745723
67,1535384700,745530,745703,745173,745700
68,1535385000,745700,746847,745530,746847
69,1535385300,746858,746863,746510,746862
70,1535385600,746862,747840,746224,747777
71,1535385900,747500,747883,746449,746849
72,1535386200,746614,746933,745400,746436
73,1535386500,746643,746989,746128,746989
74,1535386800,746816,747000,746380,746618
75,1535387100,746573,746999,746101,746254
76,1535387400,746253,746490,745054,745861
77,1535387700,745828,746499,745826,746499
78,1535388000,746493,747000,746485,747000
79,1535388300,747000,747000,745895,746761
80,1535388600,746917,746939,746506,746541
81,1535388900,746550,746714,746231,746701
82,1535389200,746701,746959,746620,746959
83,1535389500,746959,747041,746268,746268
84,1535389800,746583,747098,745723,747000
85,1535390100,745850,746460,745525,745787
86,1535390400,745778,746433,745625,746250
87,1535390700,746249,746399,745853,746172
88,1535391000,746172,746400,745809,746400
89,1535391300,746400,746447,746086,746446
90,1535391600,746446,747249,746446,747212
91,1535391900,747255,747255,745923,746321
92,1535392200,746176,746896,745984,746475
93,1535392500,746467,746989,746104,746129
94,1535392800,746130,746990,746059,746683
95,1535393100,746971,747198,746429,746429
96,1535393400,746529,747224,745625,745740
97,1535393700,745740,746176,745625,745648
98,1535394000,745651,746073,745020,745660
99,1535394300,746022,746173,745284,745925
100,1535394600,745689,746173,745429,746173
101,1535394900,746172,746922,746172,746921
102,1535395200,747000,747324,746237,746238
103,1535395500,746162,746384,745725,745871
104,1535395800,745900,746162,745370,746104
105,1535396100,746184,747170,745061,746563
106,1535396400,746572,746572,745905,746482
