,time,open,high,low,close
0,1535538600,788092,788764,787500,787893
1,1535538900,787586,787678,786423,786423
2,1535539200,786423,787183,786401,786401
3,1535539500,786401,788300,786298,787500
4,1535539800,787538,787538,786500,786586
5,1535540100,786585,787392,786151,787015
6,1535540400,787032,787502,786886,786932
7,1535540700,787044,787044,785798,786294
8,1535541000,786000,786237,785019,786119
9,1535541300,786144,786144,785257,785500
10,1535541600,785500,785757,784768,785423
11,1535541900,785611,786499,785214,786231
12,1535542200,786400,786900,786231,786900
13,1535542500,786899,787098,786551,786603
14,1535542800,786603,786773,786389,786508
15,1535543100,786508,786606,786235,786508
16,1535543400,786508,787280,786477,787280
17,1535543700,787281,788400,786995,787635
18,1535544000,787867,787869,787119,787658
19,1535544300,787658,788161,787428,788146
20,1535544600,788062,788835,787680,788200
21,1535544900,788153,788835,788153,788551
22,1535545200,788399,789500,788399,789078
23,1535545500,789082,789086,787390,787754
24,1535545800,787509,787850,787086,787508
25,1535546100,787506,788472,787137,788023
26,1535546400,788027,788700,788027,788700
27,1535546700,788750,789496,788100,788978
28,1535547000,788980,789323,787898,787958
29,1535547300,787890,788155,787319,787319
30,1535547600,787816,787816,787250,787353
31,1535547900,787472,787816,787005,787717
32,1535548200,787717,787815,787440,787815
33,1535548500,787814,787816,787273,787815
34,1535548800,787814,788282,787500,788282
35,1535549100,788147,789498,788000,788970
36,1535549400,788889,789041,788115,788408
37,1535549700,788450,789480,788450,788904
38,1535550000,788901,789085,788292,788645
39,1535550300,788580,788803,787279,787704
40,1535550600,787704,787911,786736,787876
41,1535550900,787876,788875,786766,788000
42,1535551200,787958,788000,787364,787573
43,1535551500,787573,788999,787573,788614
44,1535551800,788623,788800,788200,788295
45,1535552100,788317,788600,787550,787550
46,1535552400,787550,788332,787440,788222
47,1535552700,788243,788332,788010,788260
48,1535553000,788157,788283,788000,788283
49,1535553300,788296,788299,787550,787550
50,1535553600,787753,788197,787404,787426
51,1535553900,787426,787629,785547,785547
52,1535554200,785547,786486,784600,785634
53,1535554500,785771,786426,784000,786419
54,1535554800,786401,787863,786243,787567
55,1535555100,787937,787937,785640,787050
56,1535555400,787048,787048,785501,786798
57,1535555700,786876,787048,785502,786231
58,1535556000,785955,786212,784510,785114
59,1535556300,785267,785267,781739,783581
60,1535556600,783242,783893,782202,783769
61,1535556900,784000,784900,783519,784846
62,1535557200,784848,785617,783954,785399
63,1535557500,785517,785980,784685,785299
