,time,open,high,low,close
0,1536156300,785601,786030,784829,785573
1,1536156600,785502,785999,783606,784684
2,1536156900,784982,784982,783610,784456
3,1536157200,784266,785197,783990,785011
4,1536157500,785020,785020,784011,784305
5,1536157800,784305,785415,784303,785001
6,1536158100,785001,785131,783500,783778
7,1536158400,783500,784000,782500,783000
8,1536158700,783001,783677,780979,781699
9,1536159000,781700,782516,780000,780687
10,1536159300,780511,781598,779688,781585
11,1536159600,781585,783000,781469,782926
12,1536159900,782867,783000,782216,782216
13,1536160200,782216,782216,780219,781854
14,1536160500,781320,782990,780899,782163
15,1536160800,782346,782400,780294,780302
16,1536161100,780582,781650,779012,780665
17,1536161400,780666,780952,779050,780528
18,1536161700,780323,780918,779821,779821
19,1536162000,779800,780904,779395,780676
20,1536162300,780601,780602,778343,779319
21,1536162600,779503,779785,775120,778480
22,1536162900,777910,780649,777439,779730
23,1536163200,779890,781500,779845,780394
24,1536163500,780200,781001,779694,780420
25,1536163800,780427,780890,779596,779902
26,1536164100,779901,782100,779596,779971
27,1536164400,779972,780254,778996,779691
28,1536164700,779700,779730,778475,778736
29,1536165000,779131,779461,777450,779008
30,1536165300,778922,779762,778831,779336
31,1536165600,779566,780189,778598,778819
32,1536165900,778831,779464,778138,778484
33,1536166200,778167,778804,772800,772800
34,1536166500,773623,774880,770000,774880
35,1536166800,774631,774885,770300,773602
36,1536167100,773602,774019,770400,770952
37,1536167400,770578,772521,768015,771840
38,1536167700,771890,772687,770001,772687
39,1536168000,772469,772942,770000,770665
40,1536168300,770699,771032,769053,770272
41,1536168600,770279,771472,769500,771245
42,1536168900,771233,772455,770325,771869
43,1536169200,771700,773259,770995,772274
44,1536169500,772197,774191,771683,773258
45,1536169800,773256,773256,771913,772619
46,1536170100,772842,773121,771094,771094
47,1536170400,771094,772549,770532,772549
48,1536170700,772419,773912,772405,773483
49,1536171000,773535,773892,771551,773477
50,1536171300,773470,773673,772367,772773
51,1536171600,772771,773397,772721,773126
52,1536171900,773298,773870,772443,772624
53,1536172200,772568,772568,770958,771520
54,1536172500,771418,771603,770001,771603
55,1536172800,771425,772787,771370,772101
56,1536173100,772101,772101,771303,771822
57,1536173400,771779,773000,771779,772640
58,1536173700,772649,773028,771676,771676
59,1536174000,771676,772737,771676,772700
60,1536174900,772902,772909,771500,772000
61,1536175200,772094,772659,771854,772401
62,1536175500,772452,772452,771203,771327
63,1536175800,771258,771753,768583,770003
64,1536176100,769860,771241,769565,770376
65,1536176400,770600,772558,770293,771675
66,1536176700,771626,773147,771167,772288
67,1536177000,771908,772379,771286,771326
68,1536177300,771325,771726,771000,771243
69,1536177600,771000,771096,769000,770511
70,1536177900,770613,772860,770613,772209
71,1536178200,772791,772793,771999,772523
72,1536178500,772521,773285,772448,772800
73,1536178800,772782,772783,771910,772653
74,1536179100,772798,775660,772051,774338
75,1536179400,774736,775254,773018,774344
76,1536179700,774163,774185,772638,773495
77,1536180000,773823,774735,773456,773931
78,1536180300,773810,773948,773012,773562
79,1536180600,773899,775154,773794,774875
80,1536180900,774796,775240,773594,774922
81,1536181200,775078,776627,775078,776451
82,1536181500,776300,776300,773301,774382
83,1536181800,774115,774873,773776,774800
84,1536182100,774799,776681,774698,776000
85,1536182400,776001,778468,775998,777442
86,1536182700,777415,778813,774999,775122
87,1536183000,774910,775755,773963,774386
88,1536183300,774289,774289,771068,772916
89,1536183600,772948,773837,772265,773261
90,1536183900,773462,773749,772185,772748
91,1536184200,772748,773080,771423,772900
92,1536184500,772899,772899,771781,772257
93,1536184800,772521,773500,772434,773500
94,1536185100,773499,773500,771221,772707
95,1536185400,772380,772380,770746,770746
96,1536185700,770746,770749,767000,767659
97,1536186000,767809,768132,764302,766773
98,1536186300,766784,768530,765756,768081
99,1536186600,768500,769100,766922,768635
100,1536186900,768635,770919,768028,769300
101,1536187200,769321,769736,768398,768438
102,1536187500,768500,769494,767657,768417
103,1536187800,767900,769381,767558,769211
104,1536188100,769211,770000,768100,768717
105,1536188400,768345,769640,768254,769333
106,1536188700,769427,770140,768726,770140
107,1536189000,770139,770557,769449,770025
108,1536189300,770028,770395,768409,769546
109,1536189600,769649,769691,768800,768801
110,1536189900,768801,769266,766726,767114
111,1536190200,767037,768301,766849,767100
112,1536190500,767224,767904,765500,766863
113,1536190800,766974,767613,766507,767018
114,1536191100,766862,767000,758270,758270
115,1536191400,758279,758679,740001,742253
116,1536191700,742253,744776,740000,742068
117,1536192000,742067,745719,741002,743000
118,1536192300,743219,744564,742000,744564
119,1536192600,744121,745530,741111,743477
120,1536192900,743480,745087,741688,743240
121,1536193200,743312,743900,717966,719513
122,1536193500,719998,719998,705400,709350
123,1536193800,709142,713400,700001,702501
124,1536194100,702710,707700,702500,702985
125,1536194400,702985,710340,695355,704600
126,1536194700,704600,707888,704307,707421
127,1536195000,707421,707500,702000,706998
128,1536195300,706948,710639,706660,709690
129,1536195600,709690,715282,708594,714523
130,1536195900,714527,715700,711650,713847
131,1536196200,713848,714589,709320,712000
132,1536196500,712000,715056,711547,714727
133,1536196800,714275,717133,714169,717133
134,1536197100,717134,718000,712830,713999
135,1536197400,713600,716010,710400,710518
136,1536197700,710782,712926,709500,710220
137,1536198000,710248,713497,710219,712620
138,1536198300,712798,714000,711546,712021
