,time,open,high,low,close
0,1535451600,767445,767965,766793,767170
1,1535451900,766795,767150,766500,766935
2,1535452200,766933,767000,766666,767000
3,1535452500,767000,767300,767000,767300
4,1535452800,767248,767693,767110,767498
5,1535453100,767500,767697,767165,767599
6,1535453400,767678,767999,767375,767878
7,1535453700,767878,767878,767500,767774
8,1535454000,767774,768490,767500,768490
9,1535454300,768065,770334,768065,769403
10,1535454600,769485,776200,769470,776200
11,1535454900,776200,778950,773932,774375
12,1535455200,774662,776958,774547,776498
13,1535455500,776500,777349,776000,776068
14,1535455800,776003,776883,775411,776206
15,1535456100,776206,777600,776179,777144
16,1535456400,777144,779399,776900,778773
17,1535456700,778841,779713,778202,779398
18,1535457000,779095,783200,778971,781897
19,1535457300,781956,782000,779280,780000
20,1535457600,780000,781219,779966,780443
21,1535457900,780195,780448,777315,777399
22,1535458200,777399,780000,777000,779318
23,1535458500,779000,779399,778402,779252
24,1535458800,779349,780000,779001,779720
25,1535459100,779480,780881,779238,779323
26,1535459400,779415,779415,778501,778999
27,1535459700,778927,779989,778800,779881
28,1535460000,779596,779989,779350,779827
29,1535460300,779757,779990,779101,779777
30,1535460600,779770,780767,779583,780203
31,1535460900,780171,780464,779630,780429
32,1535461200,780400,782200,780400,781159
33,1535461500,781000,781500,780439,781192
34,1535461800,781192,782900,781192,782616
35,1535462100,782616,785320,782000,784855
36,1535462400,784796,787654,783999,785071
37,1535462700,785034,785277,782848,783000
38,1535463000,783000,785692,782858,783478
39,1535463300,783443,784000,781500,781669
40,1535463600,781669,783648,781500,783244
41,1535463900,783533,784584,783244,784326
42,1535464200,784287,784917,783401,784917
43,1535464500,784925,786000,784500,785593
44,1535464800,785351,786970,785147,785560
45,1535465100,785834,786229,783859,784534
46,1535465400,784552,785287,783894,784438
47,1535465700,784579,787260,784360,786414
48,1535466000,786414,786704,784092,784253
49,1535466300,784250,785000,783803,784437
50,1535466600,784460,785003,783000,783000
51,1535466900,783000,784172,782000,783046
52,1535467200,783250,784000,782609,784000
53,1535467500,784000,784925,782931,783731
54,1535467800,783731,784592,783517,784157
55,1535468100,784000,784995,783869,784612
56,1535468400,784545,784720,783347,783700
57,1535468700,783750,784081,783438,783477
58,1535469000,783477,783647,782044,782062
59,1535469300,782248,782248,779360,780996
60,1535469600,781000,782734,780202,782734
61,1535469900,782522,783013,782251,782679
62,1535470200,782253,782253,781256,781677
63,1535470500,781738,782946,778300,782762
64,1535470800,782758,782758,782216,782539
65,1535471100,782539,782614,782000,782000
66,1535471400,782000,782800,782000,782489
67,1535471700,782491,783264,782368,783000
68,1535472000,783000,783000,782057,782420
69,1535472300,782418,782823,782191,782467
70,1535472600,782530,782530,781470,781622
71,1535472900,782202,782202,781039,781654
72,1535473200,781654,781923,779240,779698
73,1535473500,779247,780643,779168,779746
74,1535473800,779347,779800,777000,779055
75,1535474100,779203,780091,778253,779900
76,1535474400,779900,780536,779900,780503
77,1535474700,780500,780500,778253,780000
78,1535475000,779841,780599,779185,779998
79,1535475300,779935,780037,779264,780000
80,1535475600,779999,779999,778996,779000
81,1535475900,779000,780111,778847,779233
82,1535476200,779233,779233,778253,779233
83,1535476500,779233,779804,779000,779705
84,1535476800,779805,780303,779770,780057
85,1535477100,780057,780658,779401,780195
86,1535477400,780298,780298,779311,779705
87,1535477700,779705,779727,779303,779514
88,1535478000,779521,779724,778680,778761
89,1535478300,778479,779100,777636,779099
90,1535478600,779007,779264,778169,778809
91,1535478900,779098,783000,779004,781906
92,1535479200,781654,783200,781588,782682
93,1535479500,782444,782750,781800,781849
94,1535479800,782207,782705,782207,782500
95,1535480100,782600,783127,782445,782841
96,1535480400,782725,783414,782377,782988
97,1535480700,783300,784304,783174,783677
98,1535481000,783400,783645,783300,783448
99,1535481300,783448,784353,783269,784272
100,1535481600,784274,785359,783954,784917
101,1535481900,784844,785051,782973,783801
102,1535482200,783497,783688,782640,783001
103,1535482500,783001,784000,782996,784000
104,1535482800,784003,784492,783286,783515
105,1535483700,785804,788596,785580,787729
106,1535484000,787729,790000,787400,790000
107,1535484300,789746,790000,787720,788721
108,1535484600,788721,788923,788313,788560
109,1535484900,788900,789284,787400,787400
110,1535485200,787400,788081,787000,788081
111,1535485500,788081,789133,786997,788194
112,1535485800,788194,789804,788194,789166
113,1535486100,789165,789630,788275,788647
114,1535486400,788651,789606,788155,788717
115,1535486700,788576,789410,788447,788776
116,1535487000,788878,789839,788723,789366
117,1535487300,789482,792550,788500,791907
118,1535487600,792302,792589,790446,791906
119,1535487900,791700,792700,791000,791371
120,1535488200,791001,791136,788707,789898
121,1535488500,789681,789804,788282,788457
122,1535488800,788204,789880,788018,789202
123,1535489100,789300,790000,789000,789351
124,1535489400,789101,789412,787099,787614
125,1535489700,787535,788999,786025,786499
126,1535490000,786426,788203,785061,787419
127,1535490300,787421,788860,786549,788120
128,1535490600,788202,789503,787882,789345
129,1535490900,789345,789998,789000,789000
130,1535491200,788994,788998,787687,788323
131,1535491500,788199,788524,788001,788258
132,1535491800,788258,789492,788258,789377
133,1535492100,789405,789611,789229,789289
134,1535492400,789253,789253,787462,788000
135,1535492700,788000,788466,788000,788000
136,1535493000,788000,788373,787462,787689
137,1535493300,787464,787465,786780,787075
138,1535493600,786739,786967,784135,784910
139,1535493900,784630,786190,784502,785359
140,1535494200,785127,785255,780660,782152
141,1535494500,781960,783240,781500,782572
142,1535494800,782497,785200,782496,783650
143,1535495100,783657,785303,783575,784977
144,1535495400,784980,785103,784000,784000
145,1535495700,784000,785585,783856,785472
146,1535496000,785872,786500,785841,786200
147,1535496300,786200,786732,785635,786045
148,1535496600,786045,787462,786045,786678
149,1535496900,786709,786852,784900,786852
150,1535497200,786770,788000,786582,786582
151,1535497500,786833,787247,785889,785902
152,1535497800,785905,786839,785830,786023
153,1535498100,786367,789499,786170,789366
154,1535498400,789250,790000,787860,789255
155,1535498700,789257,790586,788641,789619
156,1535499000,789844,790330,789155,789329
157,1535499300,789329,790665,789329,790518
158,1535499600,790511,790516,789487,790000
159,1535499900,790000,790139,789338,789998
160,1535500200,789998,790000,787208,787417
161,1535500500,787728,787729,785370,787090
162,1535500800,787090,787657,786377,786783
163,1535501100,786782,786782,785454,786514
164,1535501400,786295,786518,785000,786252
165,1535501700,786250,786250,784141,785039
166,1535502000,785099,785387,784001,784141
167,1535502300,784000,784000,783250,783756
168,1535502600,783756,784898,783561,784163
169,1535502900,784163,784164,783179,783863
170,1535503200,783960,784780,783959,784772
171,1535503500,784772,784780,783618,784010
172,1535503800,783980,785000,783729,784896
173,1535504100,784956,785500,784449,785400
174,1535504400,785399,785621,784625,784939
175,1535504700,784939,785848,784939,785845
176,1535505000,785843,785847,785178,785846
177,1535505300,785845,786339,785495,785574
178,1535505600,785780,785781,785157,785271
179,1535505900,785295,785295,784659,784947
180,1535506200,784921,784977,784000,784500
181,1535506500,784500,784650,784001,784268
182,1535506800,784289,784648,784076,784500
183,1535507100,784500,784500,782605,782608
184,1535507400,782800,782998,782001,782920
185,1535507700,782920,784447,782920,784447
186,1535508000,784447,784447,783383,783978
187,1535508300,783927,785300,783927,785274
188,1535508600,785282,785299,784671,784845
189,1535508900,784845,784845,784207,784400
190,1535509200,784761,784761,783947,784299
191,1535509500,784001,784001,782532,782900
192,1535509800,782999,783211,782251,782594
193,1535510100,782479,782480,778510,781789
194,1535510400,782378,782475,781502,781756
195,1535510700,781756,782707,781600,781705
196,1535511000,781705,782000,781000,781401
197,1535511300,781400,782245,781270,781385
198,1535511600,781369,781484,779800,780336
199,1535511900,780424,781000,780256,780789
200,1535512200,780789,780791,779440,779689
201,1535512500,779529,780504,778900,779777
202,1535512800,779811,780504,779779,780504
203,1535513100,780660,782447,780660,781909
204,1535513400,781800,782000,781001,781389
205,1535513700,781432,781500,780825,781385
206,1535514000,781383,781499,780800,781271
207,1535514300,781271,781271,780102,780557
208,1535514600,780602,780801,780399,780400
209,1535514900,780400,781500,780400,781500
210,1535515200,781500,782794,781250,782794
211,1535515500,782499,782793,782231,782393
