,time,open,high,low,close
0,1536243300,720968,721323,720212,721079
1,1536243600,721171,721499,720330,720419
2,1536243900,720335,720335,718032,718564
3,1536244200,718564,719289,718178,719054
4,1536244500,718891,719314,718000,718355
5,1536244800,718355,718382,716231,717066
6,1536245100,717385,717385,715600,716658
7,1536245400,716564,718278,716563,717576
8,1536245700,717263,719191,716604,718658
9,1536246000,718870,719200,717646,718576
10,1536246300,718639,718639,715300,715354
11,1536246600,715234,716300,712222,712674
12,1536246900,712290,714574,711630,713500
13,1536247200,713500,715260,713307,714801
14,1536247500,714800,715184,712120,713746
15,1536247800,713998,713998,711000,712280
16,1536248100,712351,712979,710000,712603
17,1536248400,712460,712979,711274,712979
18,1536248700,712854,713500,712300,713057
19,1536249000,712694,713500,712294,713450
20,1536249300,713246,713313,712505,713048
21,1536249600,712698,713393,711827,712380
22,1536249900,712727,713186,711232,711915
23,1536250200,712001,712001,710565,711217
24,1536250500,711218,712655,710500,712410
25,1536250800,712535,713998,712535,713603
26,1536251100,713497,714412,713120,713743
27,1536251400,713834,713912,712350,713353
28,1536251700,713369,714900,713116,714845
29,1536252000,715000,715124,713253,714086
30,1536252300,714112,714726,713294,714509
31,1536252600,714386,714386,713696,714000
32,1536252900,713766,714023,712499,712499
33,1536253200,712520,712787,711501,711501
34,1536253500,711620,712541,711620,711987
35,1536253800,711995,713454,711995,713200
36,1536254100,713351,713380,712800,713128
37,1536254400,713299,713477,711466,711778
38,1536254700,711613,712940,711613,712469
39,1536255000,712219,712849,711827,711881
40,1536255300,711827,712619,711591,712156
41,1536255600,712246,712246,711112,711112
42,1536255900,711072,711275,710501,711275
43,1536256200,711289,712411,711289,712411
44,1536256500,711863,711931,711289,711314
45,1536256800,711314,711314,708500,708500
46,1536257100,708500,715883,706000,713994
47,1536257400,713992,715102,712313,713908
48,1536257700,713924,714480,712662,713100
49,1536258000,713312,713822,711918,712243
50,1536258300,712193,713108,711584,713108
51,1536258600,713045,713045,711646,712127
52,1536258900,711878,711878,710220,711332
53,1536259200,711519,713743,711372,713344
54,1536259500,713424,713811,712698,712895
55,1536259800,712698,713206,712425,712550
56,1536260100,712575,713546,712575,712877
57,1536260400,712880,713162,710280,710848
58,1536260700,711012,711012,711010,711010
59,1536261300,712142,713438,712142,713207
60,1536261600,713239,713858,712342,713122
61,1536261900,713123,713123,712707,712936
62,1536262200,712853,713180,712487,712487
63,1536262500,712577,715158,712330,714641
64,1536262800,714553,715335,713934,714584
65,1536263100,714741,715297,714193,715297
66,1536263400,715430,717240,715375,716822
67,1536263700,716916,717360,715455,715455
68,1536264000,715511,717514,715496,716787
69,1536264300,716787,716787,714687,714805
70,1536264600,714765,715312,714119,714119
71,1536264900,714453,714453,712920,713562
72,1536265200,713532,713662,712301,712965
73,1536265500,712745,713972,712447,713972
74,1536265800,713873,713873,711390,712031
75,1536266100,712031,712517,711689,711764
76,1536266400,712165,712381,711373,712072
77,1536266700,712071,713826,711281,713472
78,1536267000,713331,713968,713201,713663
79,1536267300,713856,714650,713532,713900
80,1536267600,713900,713900,712916,713498
81,1536267900,713515,713911,713121,713911
82,1536268200,713904,715000,713900,714387
83,1536268500,714315,714564,713918,714563
84,1536268800,714500,714563,712400,713000
85,1536269100,713001,713551,712732,713052
86,1536269400,713147,713673,712902,713342
87,1536269700,713405,713557,712562,712562
88,1536270000,712795,712795,711010,711714
89,1536270300,711828,712826,711754,712325
90,1536270600,712325,713329,712001,713318
91,1536270900,713329,713605,712605,713000
92,1536271200,713000,713704,713000,713440
